Month,Year,Municipality,Dengue_Cases
Jan,2019,Agno,1
Feb,2019,Agno,1
Mar,2019,Agno,0
Apr,2019,Agno,0
May,2019,Agno,0
Jun,2019,Agno,1
Jul,2019,Agno,13
Aug,2019,Agno,22
Sep,2019,Agno,14
Oct,2019,Agno,3
Nov,2019,Agno,5
Dec,2019,Agno,0
Jan,2020,Agno,2
Feb,2020,Agno,0
Mar,2020,Agno,0
Apr,2020,Agno,0
May,2020,Agno,0
Jun,2020,Agno,1
Jul,2020,Agno,1
Aug,2020,Agno,3
Sep,2020,Agno,1
Oct,2020,Agno,1
Nov,2020,Agno,2
Dec,2020,Agno,0
Jan,2021,Agno,0
Feb,2021,Agno,0
Mar,2021,Agno,2
Apr,2021,Agno,6
May,2021,Agno,11
Jun,2021,Agno,2
Jul,2021,Agno,41
Aug,2021,Agno,22
Sep,2021,Agno,7
Oct,2021,Agno,0
Nov,2021,Agno,1
Dec,2021,Agno,0
Jan,2022,Agno,0
Feb,2022,Agno,1
Mar,2022,Agno,0
Apr,2022,Agno,1
May,2022,Agno,1
Jun,2022,Agno,2
Jul,2022,Agno,2
Aug,2022,Agno,3
Sep,2022,Agno,1
Oct,2022,Agno,0
Nov,2022,Agno,0
Dec,2022,Agno,1
Jan,2023,Agno,0
Feb,2023,Agno,0
Mar,2023,Agno,0
Apr,2023,Agno,0
May,2023,Agno,0
Jun,2023,Agno,0
Jul,2023,Agno,0
Aug,2023,Agno,0
Sep,2023,Agno,3
Oct,2023,Agno,1
Nov,2023,Agno,1
Dec,2023,Agno,2
Jan,2024,Agno,1
Feb,2024,Agno,0
Mar,2024,Agno,0
Apr,2024,Agno,0
May,2024,Agno,0
Jun,2024,Agno,1
Jul,2024,Agno,6
Aug,2024,Agno,8
Sep,2024,Agno,4
Oct,2024,Agno,1
Jan,2019,Aguilar,1
Feb,2019,Aguilar,0
Mar,2019,Aguilar,3
Apr,2019,Aguilar,0
May,2019,Aguilar,0
Jun,2019,Aguilar,1
Jul,2019,Aguilar,1
Aug,2019,Aguilar,6
Sep,2019,Aguilar,25
Oct,2019,Aguilar,9
Nov,2019,Aguilar,6
Dec,2019,Aguilar,3
Jan,2020,Aguilar,1
Feb,2020,Aguilar,1
Mar,2020,Aguilar,2
Apr,2020,Aguilar,3
May,2020,Aguilar,1
Jun,2020,Aguilar,8
Jul,2020,Aguilar,20
Aug,2020,Aguilar,24
Sep,2020,Aguilar,7
Oct,2020,Aguilar,4
Nov,2020,Aguilar,4
Dec,2020,Aguilar,3
Jan,2021,Aguilar,0
Feb,2021,Aguilar,0
Mar,2021,Aguilar,1
Apr,2021,Aguilar,1
May,2021,Aguilar,4
Jun,2021,Aguilar,7
Jul,2021,Aguilar,7
Aug,2021,Aguilar,3
Sep,2021,Aguilar,2
Oct,2021,Aguilar,5
Nov,2021,Aguilar,1
Dec,2021,Aguilar,0
Jan,2022,Aguilar,0
Feb,2022,Aguilar,1
Mar,2022,Aguilar,0
Apr,2022,Aguilar,0
May,2022,Aguilar,0
Jun,2022,Aguilar,3
Jul,2022,Aguilar,7
Aug,2022,Aguilar,5
Sep,2022,Aguilar,5
Oct,2022,Aguilar,2
Nov,2022,Aguilar,1
Dec,2022,Aguilar,0
Jan,2023,Aguilar,0
Feb,2023,Aguilar,0
Mar,2023,Aguilar,3
Apr,2023,Aguilar,0
May,2023,Aguilar,2
Jun,2023,Aguilar,3
Jul,2023,Aguilar,0
Aug,2023,Aguilar,2
Sep,2023,Aguilar,8
Oct,2023,Aguilar,5
Nov,2023,Aguilar,7
Dec,2023,Aguilar,1
Jan,2024,Aguilar,0
Feb,2024,Aguilar,4
Mar,2024,Aguilar,1
Apr,2024,Aguilar,2
May,2024,Aguilar,1
Jun,2024,Aguilar,4
Jul,2024,Aguilar,20
Aug,2024,Aguilar,22
Sep,2024,Aguilar,30
Oct,2024,Aguilar,11
Jan,2019,Alaminos City,16
Feb,2019,Alaminos City,13
Mar,2019,Alaminos City,1
Apr,2019,Alaminos City,1
May,2019,Alaminos City,2
Jun,2019,Alaminos City,37
Jul,2019,Alaminos City,65
Aug,2019,Alaminos City,59
Sep,2019,Alaminos City,50
Oct,2019,Alaminos City,26
Nov,2019,Alaminos City,7
Dec,2019,Alaminos City,3
Jan,2020,Alaminos City,3
Feb,2020,Alaminos City,9
Mar,2020,Alaminos City,11
Apr,2020,Alaminos City,0
May,2020,Alaminos City,0
Jun,2020,Alaminos City,12
Jul,2020,Alaminos City,53
Aug,2020,Alaminos City,33
Sep,2020,Alaminos City,25
Oct,2020,Alaminos City,3
Nov,2020,Alaminos City,14
Dec,2020,Alaminos City,21
Jan,2021,Alaminos City,23
Feb,2021,Alaminos City,32
Mar,2021,Alaminos City,20
Apr,2021,Alaminos City,21
May,2021,Alaminos City,30
Jun,2021,Alaminos City,68
Jul,2021,Alaminos City,104
Aug,2021,Alaminos City,34
Sep,2021,Alaminos City,14
Oct,2021,Alaminos City,6
Nov,2021,Alaminos City,3
Dec,2021,Alaminos City,0
Jan,2022,Alaminos City,2
Feb,2022,Alaminos City,3
Mar,2022,Alaminos City,1
Apr,2022,Alaminos City,3
May,2022,Alaminos City,1
Jun,2022,Alaminos City,19
Jul,2022,Alaminos City,31
Aug,2022,Alaminos City,17
Sep,2022,Alaminos City,1
Oct,2022,Alaminos City,4
Nov,2022,Alaminos City,5
Dec,2022,Alaminos City,2
Jan,2023,Alaminos City,3
Feb,2023,Alaminos City,1
Mar,2023,Alaminos City,4
Apr,2023,Alaminos City,1
May,2023,Alaminos City,1
Jun,2023,Alaminos City,0
Jul,2023,Alaminos City,6
Aug,2023,Alaminos City,6
Sep,2023,Alaminos City,7
Oct,2023,Alaminos City,4
Nov,2023,Alaminos City,3
Dec,2023,Alaminos City,2
Jan,2024,Alaminos City,1
Feb,2024,Alaminos City,1
Mar,2024,Alaminos City,2
Apr,2024,Alaminos City,1
May,2024,Alaminos City,1
Jun,2024,Alaminos City,3
Jul,2024,Alaminos City,44
Aug,2024,Alaminos City,47
Sep,2024,Alaminos City,21
Oct,2024,Alaminos City,0
Jan,2019,Alcala,13
Feb,2019,Alcala,4
Mar,2019,Alcala,2
Apr,2019,Alcala,0
May,2019,Alcala,2
Jun,2019,Alcala,4
Jul,2019,Alcala,17
Aug,2019,Alcala,11
Sep,2019,Alcala,15
Oct,2019,Alcala,12
Nov,2019,Alcala,1
Dec,2019,Alcala,0
Jan,2020,Alcala,1
Feb,2020,Alcala,2
Mar,2020,Alcala,0
Apr,2020,Alcala,0
May,2020,Alcala,0
Jun,2020,Alcala,1
Jul,2020,Alcala,3
Aug,2020,Alcala,5
Sep,2020,Alcala,5
Oct,2020,Alcala,5
Nov,2020,Alcala,8
Dec,2020,Alcala,5
Jan,2021,Alcala,7
Feb,2021,Alcala,0
Mar,2021,Alcala,1
Apr,2021,Alcala,1
May,2021,Alcala,1
Jun,2021,Alcala,1
Jul,2021,Alcala,4
Aug,2021,Alcala,7
Sep,2021,Alcala,0
Oct,2021,Alcala,1
Nov,2021,Alcala,0
Dec,2021,Alcala,2
Jan,2022,Alcala,0
Feb,2022,Alcala,1
Mar,2022,Alcala,0
Apr,2022,Alcala,2
May,2022,Alcala,4
Jun,2022,Alcala,1
Jul,2022,Alcala,3
Aug,2022,Alcala,10
Sep,2022,Alcala,2
Oct,2022,Alcala,3
Nov,2022,Alcala,0
Dec,2022,Alcala,3
Jan,2023,Alcala,0
Feb,2023,Alcala,0
Mar,2023,Alcala,1
Apr,2023,Alcala,0
May,2023,Alcala,0
Jun,2023,Alcala,2
Jul,2023,Alcala,1
Aug,2023,Alcala,3
Sep,2023,Alcala,3
Oct,2023,Alcala,4
Nov,2023,Alcala,2
Dec,2023,Alcala,2
Jan,2024,Alcala,0
Feb,2024,Alcala,1
Mar,2024,Alcala,5
Apr,2024,Alcala,0
May,2024,Alcala,2
Jun,2024,Alcala,1
Jul,2024,Alcala,5
Aug,2024,Alcala,10
Sep,2024,Alcala,5
Oct,2024,Alcala,0
Jan,2019,Anda,5
Feb,2019,Anda,6
Mar,2019,Anda,3
Apr,2019,Anda,1
May,2019,Anda,6
Jun,2019,Anda,19
Jul,2019,Anda,56
Aug,2019,Anda,38
Sep,2019,Anda,16
Oct,2019,Anda,10
Nov,2019,Anda,8
